Rank,Symbol,MarketCap
272,GIS,33151031296
273,TTWO,32580564992
274,ED,32476971008
275,EBAY,32342085632
276,HIG,32337342464
277,CNC,32326504448
278,EA,32235974656
279,DD,32098945024
280,AVB,31506915328
281,ROK,31471777792
282,CSGP,31402936320
283,WEC,31401297920
284,VICI,31382640640
285,MPWR,31090909184
286,KEYS,30837966848
287,ANSS,30651224064
288,EQT,30502488064
289,HPQ,30478436352
290,HSY,30201485312
291,NUE,30157031424
292,XYL,30134896640
293,GDDY,29977694208
294,EL,29949534208
295,BRO,29928366080
296,CAH,29872300032
297,IRM,29806731264
298,FITB,29681231872
299,STT,29344403456
300,MCHP,29159641088
301,TSCO,29038841856
302,MTD,28793366528
303,GPN,28719761408
304,FTV,28217362432
305,K,28172167168
306,DOV,27943266304
307,HPE,27871844352
308,BR,27845298176
309,EQR,27622897664
310,SW,27615082496
311,DOW,27476086784
312,SYF,26784935936
313,PPG,26768158720
314,CDW,26538192896
315,CPAY,26524338176
316,WBD,26052601856
317,TROW,25974831104
318,CHD,25852188672
319,TYL,25749350400
320,VLTO,25569173504
321,VTR,25346854912
322,AEE,25144616960
323,HBAN,25002608640
324,NVR,24919658496
325,DTE,24827267072
326,NTAP,24823662592
327,PPL,24795791360
328,WST,24735868928
329,WAT,24669624320
330,LYB,24584103936
331,ADM,24515297280
332,AWK,24291588096
333,ROL,24079620096
334,TDY,23829153792
335,PHM,23334230016
336,PTC,23286478848
337,FE,22937415680
338,DRI,22871781376
339,HAL,22858622976
340,FOX,22786205696
341,FOXA,22749509632
342,HUBB,22703159296
343,WDC,22515961856
344,DVN,22400288768
345,RF,22394408960
346,WRB,22290688000
347,ON,22286215168
348,IFF,22267344896
349,WY,22247942144
350,ATO,22180255744
351,NTRS,22005471232
352,EXPE,21940748288
353,ZBH,21794621440
354,STE,21779765248
355,CINF,21422972928
356,CBOE,21390489600
357,SBAC,21242243072
358,CNP,21226747904
359,ES,21134065664
360,ERIE,21070215168
361,BIIB,20973336576
362,CFG,20956631040
363,EIX,20906100736
364,LH,20893095936
365,STX,20806629376
366,NRG,20750862336
367,MKC,20692699136
368,VRSN,20661499904
369,CTRA,20414255104
370,ZBRA,20216264704
371,TSN,20120213504
372,KEY,19900084224
373,STLD,19899973632
374,CMS,19719809024
375,CLX,19641567232
376,PODD,19526909952
377,IP,19326308352
378,COO,19269740544
379,BLDR,19251419136
380,ULTA,19112425472
381,PKG,19097909248
382,INVH,19082676224
383,ESS,18952333312
384,LDOS,18951489536
385,PFG,18858457088
386,TER,18857674752
387,SNA,18641752064
388,L,18506504192
389,TRMB,18424567808
390,LUV,18417924096
391,BBY,18356525056
392,MAA,18302885888
393,FDS,18041812992
394,DGX,18041307136
395,FSLR,17934356480
396,JBL,17789579264
397,MOH,17755451392
398,NI,17410856960
399,J,17378502656
400,FFIV,17245569024
401,JBHT,17217028096
402,GEN,17188493312
403,PNR,17131151360
404,MAS,17104579584
405,OMC,17052585984
406,TPR,16997646336
407,IEX,16985492480
408,ARE,16850505728
409,SMCI,16700313600
410,NWS,16625808384
411,BAX,16624745472
412,NWSA,16623195136
413,BALL,16622327808
414,HRL,16459409408
415,ALGN,16357241856
416,HOLX,16283657216
417,GPC,16162934784
418,CF,16046384128
419,EXPD,15898474496
420,DLTR,15773111296
421,UDR,15680049152
422,DG,15627940864
423,DPZ,15509011456
424,RL,15505945600
425,RVTY,15350273024
426,MRNA,15169524736
427,KIM,15133119488
428,LNT,15108549632
429,AKAM,15007678464
430,EG,14935493632
431,AVY,14922736640
432,APTV,14786111488
433,EVRG,14775976960
434,DVA,14452628480
435,DOC,14450492416
436,EPAM,14404967424
437,INCY,14286924800
438,SWKS,14267370496
439,TXT,14193523712
440,AMCR,14092055552
441,SWK,13577223168
442,VTRS,13463695360
443,KMX,13171431424
444,REG,13118127104
445,POOL,13100605440
446,BXP,12904675328
447,SOLV,12794382336
448,JKHY,12701484032
449,NDSN,12571875328
450,NCLH,12465722368
451,UHS,12438473728
452,CAG,12357814272
453,CPT,12130696192
454,PAYC,11968324608
455,HST,11839519744
456,CHRW,11760215040
457,TECH,11686507520
458,BEN,11653382144
459,CPB,11557685248
460,EMN,11550730240
461,JNPR,11541762048
462,ALLE,11538124800
463,CTLT,11522381824
464,SJM,11374806016
465,TAP,11286548480
466,DAY,11155697664
467,AIZ,11036535808
468,IPG,10680005632
469,BG,10629804032
470,MGM,10266075136
471,GL,10248857600
472,HSIC,9933440000
473,ALB,9895693312
474,PNW,9887351808
475,AOS,9758164992
476,LKQ,9719904256
477,WYNN,9537432576
478,FRT,9297924096
479,MTCH,8963949568
480,GNRC,8884731904
481,WBA,8883492864
482,MOS,8859118592
483,IVZ,8615040000
484,LW,8549900800
485,CRL,8466620928
486,ENPH,8414464512
487,TFX,8371012608
488,MKTX,8318722048
489,APA,8112937984
490,HAS,8068737536
491,AES,7821297152
492,CE,7765524480
493,QRVO,7750066688
494,PARA,7728977920
495,MHK,7719735296
496,HII,7718645248
497,CZR,7659904000
498,BWA,6976529920
499,FMC,6963352064
500,AMTM,5102042624
501,MRO,0
502,BRK.B,0
503,BF.B,0
